Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Sexo,Rango de edad,Mes,Valor,Fecha
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Hombre,Más de 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Hombre,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,Hombre,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,Hombre,Más de 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,Hombre,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Homicidio,Tentativa de homicidio doloso,Tentativa de homicidio doloso,Hombre,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,Hombre,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,Hombre,18 a 29 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,Hombre,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,Mujer,18 a 29 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,Mujer,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,Hombre,18 a 29 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,Hombre,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,Mujer,18 a 29 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,Mujer,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Hombre,18 a 29 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,Libertad personal,Privación ilegal de la libertad,Privación ilegal de la libertad,Privación ilegal de la libertad,Hombre,18 a 29 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,Libertad personal,Privación ilegal de la libertad,Privación ilegal de la libertad,Privación ilegal de la libertad,Hombre,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,Libertad personal,Privación ilegal de la libertad,Privación ilegal de la libertad,Privación ilegal de la libertad,Mujer,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,Libertad personal,Retención o sustracción de menores e incapaces,Retención o sustracción de menores e incapaces,Retención o sustracción de menores e incapaces,Mujer,0 a 12 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,Mujer,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo con fines de venta,Narcomenudeo con fines de venta,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo posesión simple,Narcomenudeo posesión simple,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,Hombre,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26055.0,San Luis Río Colorado,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26056.0,San Miguel de Horcasitas,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Mujer,13 a 17 años,Noviembre,0,2026-11-01
2026,26,Sonora,26056.0,San Miguel de Horcasitas,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Mujer,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26056.0,San Miguel de Horcasitas,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,Mujer,0 a 12 años,Noviembre,0,2026-11-01
2026,26,Sonora,26056.0,San Miguel de Horcasitas,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,Mujer,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26056.0,San Miguel de Horcasitas,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,Hombre,13 a 17 años,Noviembre,0,2026-11-01
2026,26,Sonora,26056.0,San Miguel de Horcasitas,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,Mujer,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26056.0,San Miguel de Horcasitas,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,Mujer,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26057.0,San Pedro de la Cueva,El patrimonio,Robo,Robo de vehículo automotor - Motocicleta,Con violencia,Hombre,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26057.0,San Pedro de la Cueva,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,Mujer,Más de 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26057.0,San Pedro de la Cueva,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,Mujer,Más de 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Hombre,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Mujer,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,El patrimonio,Despojo,Despojo,Despojo,Hombre,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,El patrimonio,Robo,Otros robos,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,El patrimonio,Robo,Robo a casa habitación,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,El patrimonio,Robo,Robo de vehículo automotor - Coche de 4 ruedas,Con violencia,Hombre,18 a 29 años,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,El patrimonio,Robo,Robo de vehículo automotor - Coche de 4 ruedas,Sin violencia,Hombre,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Hombre,0 a 12 años,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Hombre,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Mujer,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Mujer,30 a 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Mujer,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,Hombre,18 a 29 años,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,Hombre,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,Mujer,0 a 12 años,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,Mujer,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,Hombre,Más de 60 años,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo con fines de venta,Narcomenudeo con fines de venta,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,Hombre,18 a 29 años,Noviembre,0,2026-11-01
2026,26,Sonora,26058.0,Santa Ana,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Despojo,Despojo,Despojo,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Extorsión,Extorsión por otros medios,Extorsión por otros medios,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Extorsión,Extorsión presencial,Extorsión presencial,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Extorsión,Tentativa de extorsión por otros medios,Tentativa de extorsión por otros medios,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Extorsión,Tentativa de extorsión presencial,Tentativa de extorsión presencial,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Fraude,Fraude,Fraude,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Otros robos,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Otros robos,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo a casa habitación,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo a casa habitación,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo a institución bancaria,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo a negocio,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo a negocio,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo a transportista,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo a transportista,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de autopartes,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de autopartes,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de ganado,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de ganado,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios públicos",Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios públicos",Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de maquinaria - Herramienta industrial o agrícola,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de maquinaria - Herramienta industrial o agrícola,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de maquinaria - Tractores y/o montacargas,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de maquinaria - Tractores y/o montacargas,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de vehículo automotor - Coche de 4 ruedas,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de vehículo automotor - Coche de 4 ruedas,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de vehículo automotor - Embarcaciones,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de vehículo automotor - Embarcaciones,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de vehículo automotor - Motocicleta,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo de vehículo automotor - Motocicleta,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo en transporte individual,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo en transporte individual,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo en transporte público individual,Con violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La familia,Violencia familiar,Violencia familiar,Violencia familiar,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La libertad y la seguridad sexual,Violación,Violación equiparada,Violación equiparada,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La libertad y la seguridad sexual,Violación,Violación simple,Violación simple,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La libertad y la seguridad sexual,Violación a la intimidad sexual,Violación a la intimidad sexual,Violación a la intimidad sexual,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La sociedad,Discriminación,Discriminación,Discriminación,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La sociedad,Pornografía infantil,Pornografía infantil,Pornografía infantil,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La sociedad,Trata de personas,Trata de personas con fines de explotación sexual,Trata de personas con fines de explotación sexual,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La sociedad,Trata de personas,Trata de personas con fines de trabajo o servicios forzados,Trata de personas con fines de trabajo o servicios forzados,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La sociedad,Trata de personas,Trata de personas con fines de tráfico de órganos,Trata de personas con fines de tráfico de órganos,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La sociedad,Trata de personas,Trata de personas con otros fines,Trata de personas con otros fines,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Aborto,Aborto,Aborto,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Feminicidio,Tentativa de feminicidio,Tentativa de feminicidio,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Homicidio,Tentativa de homicidio doloso,Tentativa de homicidio doloso,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,Libertad personal,Privación ilegal de la libertad,Privación ilegal de la libertad,Privación ilegal de la libertad,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,Libertad personal,Rapto,Rapto,Rapto,No identificado,No especificado,Noviembre,0,2026-11-01
2026,26,Sonora,26059.0,Santa Cruz,Libertad personal,Retención o sustracción de menores e incapaces,Retención o sustracción de menores e incapaces,Retención o sustracción de menores e incapaces,No identificado,No especificado,Noviembre,0,2026-11-01
